Track,CD,Boxnumber,Title,Composer,Artist,Aufnahmeort,Aufnahmedatum,Besetzung,
,,,,,,,,,
,,,,,,,,,
Jazz Roads – Classic Jazz – 232093,,,,,,,,,
,,,,,,,,,
CD 1 ,,,Original Dixieland Jass Band,,,,,,
1,1,232093,Darktown Strutters' Ball ,(Brooks),Original Dixieland Jass Band,New York,31/05/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
2,1,232093,Darktown Strutters' Ball ,(Brooks),Original Dixieland Jass Band,New York,31/05/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
3,1,232093,Indiana ,(McDonald-Hanley) ,Original Dixieland Jass Band,New York,31/05/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
4,1,232093,Indiana ,(McDonald-Hanley) ,Original Dixieland Jass Band,New York,31/05/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
5,1,232093,Livery Stable Blues ,(ODJB) ,Original Dixieland Jass Band,New York,26/02/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
6,1,232093,Dixie Jass Band One-Step ,(ODJB) ,Original Dixieland Jass Band,New York,26/02/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
7,1,232093,Barnyard Blues ,(ODJB) ,Original Dixieland Jass Band,New York,17/08/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
8,1,232093,Ostrich Walk ,(ODJB) ,Original Dixieland Jass Band,New York,17/08/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
9,1,232093,Tiger Rag ,(ODJB) ,Original Dixieland Jass Band,New York,17/08/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
10,1,232093,At The Jass Band Ball ,(LaRocca-Shields) ,Original Dixieland Jass Band,New York,03/09/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
11,1,232093,Look At 'Em Doing It ,(Shields) ,Original Dixieland Jass Band,New York,21/11/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
12,1,232093,Reisenweber Rag ,(ODJB) ,Original Dixieland Jass Band,New York,24/11/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
13,1,232093,Oriental Jazz ,(Sudan - Sebek) ,Original Dixieland Jass Band,New York,24/11/1917,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d).",
