,
,
,
,
,
,
,
,
,
,
,
,
Original Dixieland Jass Band,
Darktown Strutters’ Ball ,(Brooks)
Darktown Strutters’ Ball ,(Brooks)
Indiana ,(McDonald-Hanley) 
Indiana ,(McDonald-Hanley) 
Livery Stable Blues ,(ODJB) 
Dixie Jass Band One-Step ,(ODJB) 
Barnyard Blues ,(ODJB) 
Ostrich Walk ,(ODJB) 
Tiger Rag ,(ODJB) 
At The Jass Band Ball ,(LaRocca-Shields) 
Look At ‘Em Doing It ,(Shields) 
Reisenweber Rag ,(ODJB) 
Oriental Jazz ,(Sudan - Sebek) 
At The Jazz Band Ball ,(LaRocca-Shields) 
Ostrich Walk ,(ODJB) 
Skeleton Jangle ,(LaRocca) 
Tiger Rag ,(ODJB) 
Bluin’ The Blues ,(Ragas) 
Fidgety Feet ,(LaRocca-Shields) 
Sensation Rag ,(Edwards) 
Mournin’ Blues ,(Sbarbaro) 
Clarinet Marmalade ,(Ragas-Shields) 
Lazy Daddy ,(LaRocca-Shields-Ragas) 
,
,
Original Dixieland Jass Band,
Barnyard Blues ,(ODJB) 
At The Jazz Band Ball ,(LaRocca-Shields) 
Ostrich Walk ,(ODJB) 
Sensation Rag ,(Edwards) 
Look At ‘Em Doing It ,(Shields) 
Tiger Rag ,(ODJB) 
Satanic Blues ,(Shields-Christian) 
‘Lasses Candy ,(LaRocca)
My Baby’s Arms ,(Tierney-McCarthy) 
Tell Me ,(Kortlander) 
I’ve Got My Captain Working For Me ,(Berlin) 
I’m Forever Blowing Bubbles (w) ,(Kenbrovin-Kellette) 
Mammy O’Mine ,(Pinkard) 
I’ve Lost My Heart In Dixieland ,(Berlin) 
Sphinx ,(Barbour) 
Alice Blue Gown (w) ,(Tierney-McCarthy) 
Soudan ,(Sebek) 
Margie ,(Conrad-Robinson) 
Palesteena ,(Conrad-Robinson) 
Broadway Rose (intro: Dolly I Love You) ,(West-Fried-Spencer-Arden-Wadworth) 
"Strut, Miss Lizzie (intro) / Sweet Mamma",(Creamer-Layton/Rose-Little-Frost) 
,
,
King Oliver's Creole Jazz Band,
Just Gone ,(Oliver-Johnson) 
Canal Street Blues ,(Oliver-Armstrong) 
Mandy Lee Blues ,(Bloom-Melrose) 
I'm Going Away To Wear You Off My Mind ,(Smith) 
Chimes Blues ,(Oliver) 
Weather Bird Rag ,(Armstrong) 
Dipper Mouth Blues ,(Oliver-Armstrong) 
Froggie Moore ,(Spike-Spike-Morton) 
Snake Rag ,(Oliver-Piron) 
Snake Rag ,(Oliver-Piron) 
Sweet Lovin' Man ,(Melrose-Hardin) 
High Society Rag ,(Steele) 
Sobbin' Blues ,(Kassell-Berton) 
Where Did You Stay Last Night? ,(Arsmtrong-Hardin) 
Dipper Mouth Blues ,(Oliver-Armstrong) 
Jazzin' Babies' Blues ,(Jones) 
Alligator Hop,(Oliver-Piron) 
Zulu's Ball ,(Oliver-Robinson) 
Workingman Blues ,(Oliver-Hardin) 
Krooked Blues ,(Spike-Spike-Johnson) 
,
,
King Oliver's Jazz Band,
Chattanooga Stomp ,(Oliver-Picou) 
London Cafe Blues ,(Morton) 
Camp Meeting Blues ,(Oliver) 
