filename,fingerprint_short
"../DTL1000/1930/JE-3-071-20.wav","AQAFZJISRUkSKUyEH37xcEdZNPHxo5eC"

"../DTL1000/1930/JE-3-011-15.wav","AQAFpdwyncKDHz2ePSn6CheP54V_JD-R"

"../DTL1000/1930/JE-1-080-20.wav","AQAF7clCJUodHM0zD8cjo5m243uS4SxE"

"../DTL1000/1930/JE-3-056-20.wav","AQAFgomUKU80JYHm3Qjj6MGJJj-6dCG-"

"../DTL1000/1930/JE-3-003-03.wav","AQAGCokmRZJyVMqRC5_C4Iqi49ThREf5"

"../DTL1000/1930/JE-2-009-19.wav","AQAFuUsmkYpUUJ8UhH9xKbHw6LiDUM4l"

"../DTL1000/1930/JE-3-071-03.wav","AQAFywrDJJMSRcMZdYVfPBcmMTlco61C"

"../DTL1000/1930/JE-1-072-17.wav","AQAE60kiZYmUpEmCJsoV1MkPXVLw8MFz"

"../DTL1000/1930/JE-2-043-15.wav","AQAGD1GViIkSfIbuBAdzNCdO4cflGz_R"

"../DTL1000/1930/JE-1-049-22.wav","AQAGb5Kymwlu3EUp0USzSMOL_rg-9Bny"

"../DTL1000/1930/JE-1-100-01.wav","AQAGc9SjSGEUfMYdlFHgFQ9ChRqSWifK"

"../DTL1000/1930/JE-3-065-06.wav","AQAF3pGmOJGYJEgrKdEI5tGN-yjSMUMS"

"../DTL1000/1930/JE-3-019-08.wav","AQAF8kySSJGkC2GWjPjRqMmhPQyHHMcz"

"../DTL1000/1930/JE-2-018-05.wav","AQAEmYsaSYkzXFGOfklQNcJ7Bo8uVJdz"

"../DTL1000/1930/JE-2-022-04.wav","AQAGX2qiLJIiCqctNPPQ6zhzNEujQjvx"

"../DTL1000/1930/JE-3-037-09.wav","AQAE0WLCJIkVBU-FRijxRDnqsZjy4yh5"

"../DTL1000/1930/JE-1-098-03.wav","AQAF0orCZcmT4Fl6XDqencWd5vCzBuHb"

"../DTL1000/1930/JE-3-040-01.wav","AQAGBlrEZFGSJQuuorkOfdvxNHi0w39w"

"../DTL1000/1930/JE-3-038-17.wav","AQAGCZqyJI2URBFC-8FL3EbzG_UnaDfS"

"../DTL1000/1930/JE-3-010-08.wav","AQAE5MmSMFGWRDF69DuaKA_KHk3MHJeJ"

"../DTL1000/1930/JE-3-071-13.wav","AQAF7ZTCRJGSREoQORWSC9UP66h83EeZ"

"../DTL1000/1930/JE-1-050-04.wav","AQAGR62WXJGCS8MTuEdIEjovEbEv_LKK"

"../DTL1000/1930/JE-3-083-09.wav","AQAGOlqUJUkUZTj84jgSXghx48yD5zia"

"../DTL1000/1930/JE-3-083-13.wav","AQAFkt0mSdkUIL2hKVSUHDF2Dk9Y4W9E"

"../DTL1000/1930/JE-3-066-11.wav","AQAF4aJzJaGC5tPRMxWR_HgSlNJUQvzh"

"../DTL1000/1930/JE-2-086-02.wav","AQAFuEqSZEkSJWmGJs1q1EpI41kcnDD_"

"../DTL1000/1930/JE-2-072-10.wav","AQAFd1yWhFk4jNVEoxSYLFxSJA-iPzg-"

