file,base_file,instrument
AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw_0.00.57.073061-0.06.16.072054.csv,AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw,ts
AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw_0.10.34.015510-0.10.39.093469.csv,AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw,ts
AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw_0.10.49.037142-0.10.53.042040.csv,AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw,ts
AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw_0.11.01.035510-0.11.06.038367.csv,AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw,ts
AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw_0.11.14.008979-0.11.19.044489.csv,AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw,ts
AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw_0.12.25.063918-0.14.17.046648.csv,AQAbfMuVLEmWJXgWlZlQMsd1PIpmXKZw,ts
AQAbtosXZaYw5UOf43rwZ8GTaBRRHzc7_0.00.00.026122-0.04.17.064861.csv,AQAbtosXZaYw5UOf43rwZ8GTaBRRHzc7,tp
AQAbtosXZaYw5UOf43rwZ8GTaBRRHzc7_0.04.17.064861-0.08.17.009278.csv,AQAbtosXZaYw5UOf43rwZ8GTaBRRHzc7,ts
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.01.00.021224-0.02.16.016181.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.02.16.016181-0.04.06.087455.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.04.06.087455-0.07.01.061632.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.11.42.030204-0.11.54.084081.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.11.54.084081-0.12.05.081224.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.12.05.081224-0.12.17.043673.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.12.17.043673-0.12.28.051845.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.12.28.051845-0.12.38.073523.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.12.38.073523-0.12.50.025233.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.12.50.025233-0.12.54.071056.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.12.54.071056-0.12.58.051863.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.12.58.051863-0.13.01.067655.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.13.01.067655-0.13.05.002022.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.13.05.002022-0.13.08.064253.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.13.08.064253-0.13.11.052181.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.13.11.052181-0.13.15.098004.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.13.15.098004-0.13.19.069523.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.13.19.069523-0.13.23.013179.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
